,Side,Size,Price
864,Sell,5,11833
865,Sell,24,11830
866,Sell,872,11823
867,Sell,2000,11822
868,Sell,3000,11821
869,Sell,5000,11819
870,Sell,45,11810
871,Sell,750,11800
872,Sell,250,11799
873,Sell,720,11789
874,Sell,100,11788.5
875,Sell,1000,11787
876,Sell,600,11782.5
877,Sell,1000,11781
878,Sell,1045,11780
879,Sell,200,11775
880,Sell,1536,11771
881,Sell,35,11766
882,Sell,931,11759.5
883,Sell,245,11750
884,Sell,250,11748
885,Sell,5000,11739
886,Sell,1000,11738
887,Sell,2000,11722
888,Sell,45,11720
889,Sell,30,11718
890,Sell,11000,11704
891,Sell,1050,11700
892,Sell,106,11694
893,Sell,300,11691.5
894,Sell,45,11690
895,Sell,100,11688
896,Sell,825,11685.5
897,Sell,1000,11682.5
898,Sell,100,11670.5
899,Sell,10000,11667
900,Sell,45,11660
901,Sell,200,11650
902,Sell,500,11645.5
903,Sell,922,11642.5
904,Sell,600,11634.5
905,Sell,45,11630
906,Sell,2058,11617
907,Sell,100,11615.5
908,Sell,131,11613.5
909,Sell,3000,11605.5
910,Sell,1295,11600
911,Sell,5801,11593
912,Sell,600,11590
913,Sell,192,11582
914,Sell,1098,11580
915,Sell,1000,11578.5
916,Sell,45,11570
917,Sell,1000,11567
918,Sell,10,11563
919,Sell,1436,11562.5
920,Sell,1536,11562
921,Sell,16000,11560
922,Sell,217,11555
923,Sell,1730,11550
924,Sell,872,11548.5
925,Sell,70,11542
926,Sell,45,11540
927,Sell,76,11539.5
928,Sell,8000,11539
929,Sell,1,11533
930,Sell,104,11527
931,Sell,912,11525.5
932,Sell,14390,11525
933,Sell,250,11524.5
934,Sell,2000,11522
935,Sell,3400,11515
936,Sell,250,11511.5
937,Sell,45,11510
938,Sell,111,11505.5
939,Sell,300,11502
940,Sell,6662,11500
941,Sell,1000,11492
942,Sell,720,11489
943,Sell,300,11488
944,Sell,180,11487
945,Sell,600,11486.5
946,Sell,25,11485
947,Sell,12845,11480
948,Sell,300,11462
949,Sell,10,11461
950,Sell,420,11457
951,Sell,111,11456.5
952,Sell,2000,11450.5
953,Sell,38285,11450
954,Sell,1030,11437
955,Sell,12000,11429
956,Sell,35,11428.5
957,Sell,50000,11425
958,Sell,2000,11422
959,Sell,4020,11420
960,Sell,105,11418
961,Sell,163,11417
962,Sell,825,11411
963,Sell,903,11410.5
964,Sell,10000,11410
965,Sell,111,11407
966,Sell,3691,11406
967,Sell,59942,11400
968,Sell,3407,11392
969,Sell,45,11390
970,Sell,200,11380
971,Sell,3123,11378
972,Sell,50000,11375
973,Sell,11300,11371.5
974,Sell,30000,11365
975,Sell,2839,11364.5
976,Sell,45,11360
977,Sell,111,11357.5
978,Sell,120,11357
979,Sell,1536,11353
980,Sell,2555,11350.5
981,Sell,50740,11350
982,Sell,300,11349
983,Sell,4000,11343
984,Sell,10500,11342.5
985,Sell,50,11342
986,Sell,600,11339
987,Sell,2271,11336.5
988,Sell,2058,11334
989,Sell,131,11330.5
990,Sell,45,11330
991,Sell,500,11327
992,Sell,50000,11325
993,Sell,1987,11322.5
994,Sell,2000,11322
995,Sell,400,11321.5
996,Sell,2000,11319.5
997,Sell,24567,11314
998,Sell,1000,11313
999,Sell,1814,11308.5
1000,Sell,600,11307
1001,Sell,1,11300.5
1002,Sell,51235,11300
1003,Sell,4000,11299
1004,Sell,894,11296.5
1005,Sell,1419,11294.5
1006,Sell,60,11293.5
1007,Sell,104,11283
1008,Sell,1135,11280.5
1009,Sell,50000,11275
1010,Sell,872,11273.5
1011,Sell,45,11270
1012,Sell,863,11267
1013,Sell,238,11259
1014,Sell,602,11253
1015,Sell,50240,11250
1016,Sell,45,11240
1017,Sell,340,11239
1018,Sell,50079,11225
1019,Sell,2000,11222
1020,Sell,200,11219
1021,Sell,1500,11210.5
1022,Sell,45,11210
1023,Sell,111,11209.5
1024,Sell,50840,11200
1025,Sell,600,11191
1026,Sell,300,11188
1027,Sell,30,11184
1028,Sell,885,11183
1029,Sell,45,11180
1030,Sell,111,11160.5
1031,Sell,5006,11152.5
1032,Sell,1904,11152
1033,Sell,285,11150
1034,Sell,104,11149
1035,Sell,1985,11144
1036,Sell,825,11136
1037,Sell,100,11122
1038,Sell,145,11120
1039,Sell,16000,11115
1040,Sell,1112,11111
1041,Sell,203,11105.5
1042,Sell,4790,11100
1043,Sell,15101,11093.5
1044,Sell,45,11090
1045,Sell,70,11089
1046,Sell,320,11088
1047,Sell,200,11083
1048,Sell,876,11071.5
1049,Sell,397,11060
1050,Sell,26090,11057
1051,Sell,100,11055
1052,Sell,11000,11051
1053,Sell,2058,11050.5
1054,Sell,270,11050
1055,Sell,5000,11049.5
1056,Sell,2000,11048
1057,Sell,131,11047.5
1058,Sell,600,11043
1059,Sell,1500,11038
1060,Sell,5502,11037
1061,Sell,600,11031
1062,Sell,45,11030
1063,Sell,2000,11022
1064,Sell,100,11021
1065,Sell,5950,11020
1066,Sell,103,11017
1067,Sell,213,11006
1068,Sell,10,11002
1069,Sell,26765,11000
1070,Sell,30000,10999.5
1071,Sell,655,10999
1072,Sell,872,10998.5
1073,Sell,1000,10997
1074,Sell,100,10995
1075,Sell,12,10990
1076,Sell,100000,10989
1077,Sell,100,10985
1078,Sell,560,10979
1079,Sell,250,10975.5
1080,Sell,45,10970
1081,Sell,666,10967
1082,Sell,550000,10965
1083,Sell,868,10960.5
1084,Sell,50,10951
1085,Sell,50240,10950
1086,Sell,1000,10949
1087,Sell,130,10944.5
1088,Sell,30,10942
1089,Sell,95,10940
1090,Sell,200,10937
1091,Sell,1536,10935.5
1092,Sell,5000,10935
1093,Sell,2000,10922
1094,Sell,5000,10920
1095,Sell,366,10917.5
1096,Sell,6597,10910
1097,Sell,15000,10907.5
1098,Sell,210,10906
1099,Sell,1640,10900
1100,Sell,600,10895.5
1101,Sell,300,10890
1102,Sell,150,10889
1103,Sell,100,10888
1104,Sell,102,10886
1105,Sell,1500,10885
1106,Sell,253,10882
1107,Sell,45,10880
1108,Sell,164,10872
1109,Sell,7001,10863
1110,Sell,825,10861
1111,Sell,500,10855
1112,Sell,700,10853.5
1113,Sell,2000,10852
1114,Sell,859,10851
1115,Sell,1305,10850
1116,Sell,70,10823
1117,Sell,145,10820
1118,Sell,5000,10806.5
1119,Sell,8990,10800
1120,Sell,4000,10795
1121,Sell,45,10790
